Aces_left,Aces_right,Double Faults_left,Double Faults_right,1st serve percentage_left,1st serve percentage_right,1st serve points won_left,1st serve points won_right,2nd serve points won_left,2nd serve points won_right,Break Points Saved_left,Break Points Saved_right,1st return points won_left,1st return points won_right,2nd return points won_left,2nd return points won_right,Break Points Converted_left,Break Points Converted_right,Service Points Won_left,Service Points Won_right,Return Points Won_left,Return Points Won_right,Total Points Won_left,Total Points Won_right,Service games won_left,Service games won_right,Return games won_left,Return games won_right,Total games won_left,Total games won_right,player_left,player_right,date,match_info,match_result_sets,sets_played,best_of_estimate,score_full,set_1_score,set_1_tiebreak,set_2_score,set_2_tiebreak,set_3_score,set_3_tiebreak,set_4_score,set_4_tiebreak,set_5_score,set_5_tiebreak
4,12,3,3,69%,59%,"80%
(47/59)","76%
(39/51)","58%
(15/26)","50%
(18/36)",4/5,4/6,"24%
(12/51)","20%
(12/59)","42%
(15/36)","31%
(8/26)",2/6,1/5,"73%
(62/85)","66%
(57/87)","34%
(30/87)","27%
(23/85)","53%
(92/172)","47%
(80/172)","93%
(13/14)","86%
(12/14)","14%
(2/14)","7%
(1/14)","54%
(15/28)","46%
(13/28)",taberner-carlos,lopez-feliciano,13.07.2021 09:10,hamburg-2021,2-1,3,3,2-1 | 6-4 | 3-6 | 6-3,6-4,,3-6,,6-3,,,,,
4,0,2,1,49%,58%,"95%
(19/20)","43%
(10/23)","62%
(13/21)","59%
(10/17)",0/0,0/4,"57%
(13/23)","5%
(1/20)","35%
(6/17)","29%
(6/21)",4/4,0/0,"78%
(32/41)","50%
(20/40)","50%
(20/40)","22%
(9/41)","64%
(52/81)","36%
(29/81)","100%
(8/8)","50%
(4/8)","50%
(4/8)","0%
(0/8)","75%
(12/16)","25%
(4/16)",varillas-juan-pablo,nagal-sumit,13.07.2021 09:05,hamburg-2021,2-0,2,3,2-0 | 6-0 | 6-4,6-0,,6-4,,,,,,,
4,1,5,1,38%,65%,"77%
(10/13)","60%
(12/20)","38%
(8/21)","36%
(4/11)",3/6,2/5,"40%
(8/20)","23%
(3/13)","55%
(6/11)","38%
(8/21)",3/5,3/6,"53%
(18/34)","52%
(16/31)","48%
(15/31)","47%
(16/34)","51%
(33/65)","49%
(32/65)","50%
(3/6)","50%
(3/6)","50%
(3/6)","50%
(3/6)","50%
(6/12)","50%
(6/12)",paire-benoit,berankis-ricardas,12.07.2021 17:00,hamburg-2021,0-0,1,3,0-0 | 6-6,6-6,,,,,,,,,
2,2,2,0,85%,62%,"64%
(46/72)","72%
(33/46)","54%
(7/13)","68%
(19/28)",4/6,2/3,"28%
(13/46)","36%
(26/72)","32%
(9/28)","31%
(4/13)",1/3,2/6,"62%
(53/85)","70%
(52/74)","30%
(22/74)","38%
(32/85)","47%
(75/159)","53%
(84/159)","82%
(9/11)","91%
(10/11)","9%
(1/11)","18%
(2/11)","45%
(10/22)","55%
(12/22)",munar-jaume,kohlschreiber-philipp,12.07.2021 14:35,hamburg-2021,0-2,2,3,0-2 | 6-7(5-7) | 4-6,6-7,5-7,4-6,,,,,,,
0,0,3,0,70%,71%,"38%
(12/32)","69%
(20/29)","36%
(5/14)","67%
(8/12)",2/8,3/4,"31%
(9/29)","63%
(20/32)","33%
(4/12)","43%
(6/14)",1/4,6/8,"37%
(17/46)","68%
(28/41)","32%
(13/41)","63%
(29/46)","34%
(30/87)","66%
(57/87)","25%
(2/8)","86%
(6/7)","14%
(1/7)","75%
(6/8)","20%
(3/15)","80%
(12/15)",moutet-corentin,baez-sebastian,12.07.2021 12:55,hamburg-2021,0-2,2,3,0-2 | 1-6 | 2-6,1-6,,2-6,,,,,,,
1,4,3,4,63%,55%,"55%
(23/42)","54%
(21/39)","36%
(9/25)","63%
(20/32)",3/8,4/7,"46%
(18/39)","45%
(19/42)","25%
(8/32)","52%
(13/25)",3/7,5/8,"48%
(32/67)","58%
(41/71)","42%
(30/71)","52%
(35/67)","45%
(62/138)","55%
(76/138)","55%
(6/11)","73%
(8/11)","27%
(3/11)","45%
(5/11)","41%
(9/22)","59%
(13/22)",kuhn-nicola,seyboth-wild-thiago,12.07.2021 10:40,hamburg-2021,1-2,3,3,1-2 | 6-1 | 1-6 | 2-6,6-1,,1-6,,2-6,,,,,
4,0,3,4,54%,71%,"67%
(37/55)","55%
(38/69)","43%
(20/47)","46%
(13/28)",6/11,5/11,"45%
(31/69)","33%
(18/55)","39%
(11/28)","51%
(24/47)",6/11,5/11,"56%
(57/102)","53%
(51/97)","47%
(46/97)","44%
(45/102)","52%
(103/199)","48%
(96/199)","64%
(9/14)","60%
(9/15)","40%
(6/15)","36%
(5/14)","52%
(15/29)","48%
(14/29)",varillas-juan-pablo,baez-sebastian,11.07.2021 13:55,hamburg-2021,2-1,3,3,2-1 | 6-2 | 3-6 | 7-6(7-0),6-2,,3-6,,7-6,7-0,,,,
8,5,3,1,73%,73%,"62%
(62/100)","68%
(54/80)","46%
(17/37)","41%
(12/29)",18/22,9/11,"33%
(26/80)","38%
(38/100)","55%
(16/29)","46%
(17/37)",2/11,4/22,"58%
(79/137)","61%
(66/109)","39%
(43/109)","42%
(58/137)","50%
(122/246)","50%
(124/246)","73%
(11/15)","87%
(13/15)","13%
(2/15)","27%
(4/15)","43%
(13/30)","57%
(17/30)",o-connell-christopher,molcan-alex,11.07.2021 13:10,hamburg-2021,1-2,3,3,1-2 | 3-6 | 7-5 | 3-6,3-6,,7-5,,3-6,,,,,
9,7,1,4,74%,59%,"69%
(49/71)","80%
(55/69)","48%
(12/25)","35%
(17/48)",5/8,4/6,"20%
(14/69)","31%
(22/71)","56%
(27/48)","48%
(12/25)",2/6,3/8,"64%
(61/96)","62%
(72/117)","38%
(45/117)","36%
(35/96)","50%
(106/213)","50%
(107/213)","80%
(12/15)","87%
(13/15)","13%
(2/15)","20%
(3/15)","47%
(14/30)","53%
(16/30)",taberner-carlos,masur-daniel,11.07.2021 10:55,hamburg-2021,2-1,3,3,2-1 | 2-6 | 7-6(7-5) | 6-4,2-6,,7-6,7-5,6-4,,,,,
4,1,1,0,63%,64%,"67%
(39/58)","69%
(41/59)","50%
(17/34)","36%
(12/33)",8/12,2/7,"31%
(18/59)","33%
(19/58)","64%
(21/33)","47%
(16/34)",5/7,4/12,"61%
(56/92)","58%
(53/92)","42%
(39/92)","39%
(36/92)","52%
(95/184)","48%
(89/184)","73%
(11/15)","67%
(10/15)","33%
(5/15)","27%
(4/15)","53%
(16/30)","47%
(14/30)",marterer-maximilian,giannessi-alessandro,11.07.2021 10:40,hamburg-2021,2-1,3,3,2-1 | 3-6 | 6-3 | 7-5,3-6,,6-3,,7-5,,,,,
