Aces_left,Aces_right,Double Faults_left,Double Faults_right,1st serve percentage_left,1st serve percentage_right,1st serve points won_left,1st serve points won_right,2nd serve points won_left,2nd serve points won_right,Break Points Saved_left,Break Points Saved_right,1st return points won_left,1st return points won_right,2nd return points won_left,2nd return points won_right,Break Points Converted_left,Break Points Converted_right,Service Points Won_left,Service Points Won_right,Return Points Won_left,Return Points Won_right,Total Points Won_left,Total Points Won_right,Service games won_left,Service games won_right,Return games won_left,Return games won_right,Total games won_left,Total games won_right,player_left,player_right,date,match_info,match_result_sets,sets_played,best_of_estimate,score_full,set_1_score,set_1_tiebreak,set_2_score,set_2_tiebreak,set_3_score,set_3_tiebreak,set_4_score,set_4_tiebreak,set_5_score,set_5_tiebreak
24,3,7,3,58%,55%,"87%
(47/54)","62%
(29/47)","56%
(22/39)","67%
(26/39)",6/6,6/9,"38%
(18/47)","13%
(7/54)","26%
(10/39)","26%
(10/39)",3/9,0/6,"74%
(69/93)","64%
(55/86)","36%
(31/86)","26%
(24/93)","56%
(100/179)","44%
(79/179)","100%
(15/15)","79%
(11/14)","21%
(3/14)","0%
(0/15)","62%
(18/29)","38%
(11/29)",karlovic-ivo,zapata-miralles-bernabe,13.07.2021 15:10,newport-2021,2-1,3,3,2-1 | 6-7(5-7) | 6-1 | 6-4,6-7,5-7,6-1,,6-4,,,,,
4,3,2,0,46%,54%,"87%
(20/23)","88%
(22/25)","52%
(14/27)","86%
(18/21)",0/2,0/0,"12%
(3/25)","13%
(3/23)","14%
(3/21)","41%
(11/27)",0/0,2/2,"68%
(34/50)","87%
(40/46)","13%
(6/46)","32%
(16/50)","42%
(40/96)","58%
(56/96)","80%
(8/10)","100%
(10/10)","0%
(0/10)","20%
(2/10)","40%
(8/20)","60%
(12/20)",uchiyama-yasutaka,ofner-sebastian,13.07.2021 15:05,newport-2021,0-2,2,3,0-2 | 4-6 | 4-6,4-6,,4-6,,,,,,,
1,2,1,3,36%,56%,"90%
(9/10)","83%
(15/18)","50%
(9/18)","14%
(2/14)",1/2,4/6,"17%
(3/18)","10%
(1/10)","64%
(9/14)","44%
(8/18)",2/6,1/2,"64%
(18/28)","53%
(17/32)","47%
(15/32)","36%
(10/28)","55%
(33/60)","45%
(27/60)","75%
(3/4)","60%
(3/5)","40%
(2/5)","25%
(1/4)","56%
(5/9)","44%
(4/9)",thompson-jordan,stebe-cedrik-marcel,12.07.2021 22:15,newport-2021,0-0,1,3,0-0 | 5-4,5-4,,,,,,,,,
5,16,4,1,54%,58%,"75%
(21/28)","81%
(34/42)","54%
(13/24)","57%
(17/30)",0/2,5/5,"19%
(8/42)","25%
(7/28)","40%
(12/30)","29%
(7/24)",0/5,2/2,"65%
(34/52)","71%
(51/72)","29%
(21/72)","35%
(18/52)","44%
(55/124)","56%
(69/124)","80%
(8/10)","100%
(11/11)","0%
(0/11)","20%
(2/10)","38%
(8/21)","62%
(13/21)",marchenko-illya,anderson-kevin,12.07.2021 20:25,newport-2021,0-2,2,3,0-2 | 5-7 | 3-6,5-7,,3-6,,,,,,,
3,8,0,5,63%,48%,"86%
(31/36)","72%
(21/29)","52%
(11/21)","52%
(16/31)",2/3,2/5,"28%
(8/29)","14%
(5/36)","32%
(10/31)","48%
(10/21)",3/5,1/3,"74%
(42/57)","62%
(37/60)","38%
(23/60)","26%
(15/57)","56%
(65/117)","44%
(52/117)","91%
(10/11)","70%
(7/10)","30%
(3/10)","9%
(1/11)","62%
(13/21)","38%
(8/21)",sugita-yuichi,rodionov-jurij,12.07.2021 20:20,newport-2021,2-0,2,3,2-0 | 7-5 | 6-3,7-5,,6-3,,,,,,,
8,11,1,3,72%,61%,"87%
(33/38)","60%
(27/45)","53%
(8/15)","48%
(14/29)",0/2,11/15,"40%
(18/45)","13%
(5/38)","41%
(12/29)","40%
(6/15)",4/15,2/2,"77%
(41/53)","55%
(41/74)","45%
(33/74)","23%
(12/53)","58%
(74/127)","42%
(53/127)","80%
(8/10)","60%
(6/10)","40%
(4/10)","20%
(2/10)","60%
(12/20)","40%
(8/20)",schnur-brayden,blanch-ulises,12.07.2021 18:45,newport-2021,2-0,2,3,2-0 | 6-2 | 7-6(8-6),6-2,,7-6,8-6,,,,,,
6,15,1,8,68%,61%,"74%
(43/58)","82%
(40/49)","70%
(19/27)","52%
(16/31)",0/2,2/5,"18%
(9/49)","26%
(15/58)","23%
(7/31)","26%
(7/27)",3/5,2/2,"73%
(62/85)","70%
(56/80)","30%
(24/80)","27%
(23/85)","52%
(86/165)","48%
(79/165)","88%
(14/16)","81%
(13/16)","19%
(3/16)","13%
(2/16)","53%
(17/32)","47%
(15/32)",krueger-mitchell,ramanathan-ramkumar,12.07.2021 18:10,newport-2021,2-1,3,3,2-1 | 6-4 | 5-7 | 6-4,6-4,,5-7,,6-4,,,,,
13,9,7,5,46%,52%,"78%
(36/46)","74%
(37/50)","44%
(24/54)","51%
(24/47)",3/7,4/9,"26%
(13/50)","22%
(10/46)","38%
(18/47)","43%
(23/54)",5/9,4/7,"60%
(60/100)","63%
(61/97)","37%
(36/97)","40%
(40/100)","49%
(96/197)","51%
(101/197)","73%
(11/15)","69%
(11/16)","31%
(5/16)","27%
(4/15)","52%
(16/31)","48%
(15/31)",johnson-steve,kudla-denis,12.07.2021 17:55,newport-2021,1-2,3,3,1-2 | 6-7(3-7) | 6-3 | 4-6,6-7,3-7,6-3,,4-6,,,,,
9,3,3,6,67%,60%,"76%
(45/59)","64%
(42/66)","34%
(10/29)","39%
(17/44)",1/4,9/16,"36%
(24/66)","24%
(14/59)","48%
(21/44)","55%
(16/29)",7/16,3/4,"63%
(55/88)","54%
(59/110)","46%
(51/110)","38%
(33/88)","54%
(106/198)","46%
(92/198)","80%
(12/15)","53%
(8/15)","47%
(7/15)","20%
(3/15)","63%
(19/30)","37%
(11/30)",bolt-alex,harrison-ryan,12.07.2021 16:20,newport-2021,2-1,3,3,2-1 | 6-0 | 6-7(2-7) | 7-5,6-0,,6-7,2-7,7-5,,,,,
7,5,3,5,61%,67%,"69%
(34/49)","71%
(41/58)","65%
(20/31)","43%
(12/28)",0/2,6/9,"29%
(17/58)","31%
(15/49)","39%
(11/28)","26%
(8/31)",3/9,2/2,"68%
(54/80)","62%
(53/86)","38%
(33/86)","33%
(26/80)","52%
(87/166)","48%
(79/166)","86%
(12/14)","79%
(11/14)","21%
(3/14)","14%
(2/14)","54%
(15/28)","46%
(13/28)",ofner-sebastian,bemelmans-ruben,12.07.2021 16:20,newport-2021,2-1,3,3,2-1 | 6-4 | 3-6 | 6-3,6-4,,3-6,,6-3,,,,,
2,4,2,5,67%,54%,"83%
(33/40)","76%
(29/38)","55%
(11/20)","34%
(11/32)",2/3,4/7,"24%
(9/38)","18%
(7/40)","50%
(16/32)","35%
(7/20)",3/7,1/3,"73%
(44/60)","57%
(40/70)","43%
(30/70)","27%
(16/60)","57%
(74/130)","43%
(56/130)","91%
(10/11)","70%
(7/10)","30%
(3/10)","9%
(1/11)","62%
(13/21)","38%
(8/21)",brooksby-jenson,donskoy-evgeny,12.07.2021 16:10,newport-2021,2-0,2,3,2-0 | 7-5 | 6-3,7-5,,6-3,,,,,,,
1,7,0,3,59%,69%,"69%
(24/35)","92%
(34/37)","58%
(14/24)","53%
(9/17)",1/3,0/0,"8%
(3/37)","31%
(11/35)","29%
(5/17)","42%
(10/24)",0/0,2/3,"64%
(38/59)","80%
(43/54)","20%
(11/54)","36%
(21/59)","43%
(49/113)","57%
(64/113)","78%
(7/9)","100%
(10/10)","0%
(0/10)","22%
(2/9)","37%
(7/19)","63%
(12/19)",king-darian,ramanathan-ramkumar,11.07.2021 21:45,newport-2021,0-2,2,3,0-2 | 3-6 | 4-6,3-6,,4-6,,,,,,,
13,13,4,7,61%,56%,"70%
(40/57)","70%
(43/61)","64%
(23/36)","55%
(26/47)",5/7,11/13,"30%
(18/61)","30%
(17/57)","30%
(14/47)","25%
(9/36)",2/13,2/7,"68%
(63/93)","64%
(69/108)","36%
(39/108)","32%
(30/93)","51%
(102/201)","49%
(99/201)","86%
(12/14)","86%
(12/14)","14%
(2/14)","14%
(2/14)","50%
(14/28)","50%
(14/28)",blanch-ulises,kwiatkowski-thai-son,11.07.2021 20:20,newport-2021,2-1,3,3,2-1 | 2-6 | 6-2 | 7-6(7-5),2-6,,6-2,,7-6,7-5,,,,
5,8,0,2,64%,56%,"70%
(33/47)","70%
(31/44)","63%
(17/27)","50%
(17/34)",6/7,3/6,"30%
(13/44)","30%
(14/47)","44%
(15/34)","37%
(10/27)",3/6,1/7,"68%
(50/74)","62%
(48/78)","38%
(30/78)","32%
(24/74)","53%
(80/152)","47%
(72/152)","91%
(10/11)","73%
(8/11)","27%
(3/11)","9%
(1/11)","59%
(13/22)","41%
(9/22)",krueger-mitchell,rubin-noah,11.07.2021 19:50,newport-2021,2-0,2,3,2-0 | 7-5 | 6-4,7-5,,6-4,,,,,,,
4,5,3,2,62%,60%,"59%
(20/34)","80%
(20/25)","38%
(8/21)","76%
(13/17)",5/9,2/2,"20%
(5/25)","41%
(14/34)","12%
(2/17)","48%
(10/21)",0/2,4/9,"51%
(28/55)","79%
(33/42)","21%
(9/42)","49%
(27/55)","38%
(37/97)","62%
(60/97)","50%
(4/8)","100%
(8/8)","0%
(0/8)","50%
(4/8)","25%
(4/16)","75%
(12/16)",lacko-lukas,schnur-brayden,11.07.2021 18:40,newport-2021,0-2,2,3,0-2 | 0-6 | 4-6,0-6,,4-6,,,,,,,
8,11,8,2,60%,71%,"80%
(72/90)","74%
(76/103)","64%
(38/59)","65%
(28/43)",4/4,5/5,"26%
(27/103)","20%
(18/90)","30%
(13/43)","22%
(13/59)",0/5,0/4,"74%
(110/149)","71%
(104/146)","29%
(42/146)","26%
(39/149)","52%
(152/295)","48%
(143/295)","100%
(18/18)","100%
(18/18)","0%
(0/18)","0%
(0/18)","50%
(18/36)","50%
(18/36)",harrison-ryan,eubanks-christopher,11.07.2021 16:55,newport-2021,2-1,3,3,2-1 | 7-6(7-4) | 6-7(16-18) | 7-6(10-8),7-6,7-4,6-7,16-18,7-6,10-8,,,,
12,6,2,1,61%,60%,"89%
(42/47)","77%
(40/52)","57%
(17/30)","54%
(19/35)",4/4,6/6,"23%
(12/52)","11%
(5/47)","43%
(15/35)","37%
(11/30)",0/6,0/4,"77%
(59/77)","68%
(59/87)","32%
(28/87)","23%
(18/77)","53%
(87/164)","47%
(77/164)","100%
(12/12)","100%
(12/12)","0%
(0/12)","0%
(0/12)","50%
(12/24)","50%
(12/24)",bolt-alex,blumberg-william,11.07.2021 16:45,newport-2021,2-0,2,3,2-0 | 7-6(7-5) | 7-6(7-1),7-6,7-5,7-6,7-1,,,,,,
7,7,5,2,58%,69%,"82%
(40/49)","65%
(30/46)","43%
(15/35)","43%
(9/21)",5/7,2/7,"35%
(16/46)","18%
(9/49)","48%
(10/21)","43%
(15/35)",5/7,2/7,"65%
(55/84)","58%
(39/67)","42%
(28/67)","35%
(29/84)","55%
(83/151)","45%
(68/151)","85%
(11/13)","62%
(8/13)","38%
(5/13)","15%
(2/13)","62%
(16/26)","38%
(10/26)",ofner-sebastian,quiroz-roberto,11.07.2021 15:10,newport-2021,2-1,3,3,2-1 | 4-6 | 6-3 | 6-1,4-6,,6-3,,6-1,,,,,
1,9,1,3,56%,60%,"60%
(27/45)","79%
(33/42)","53%
(19/36)","46%
(13/28)",4/8,4/6,"21%
(9/42)","40%
(18/45)","43%
(12/28)","44%
(16/36)",2/6,4/8,"57%
(46/81)","66%
(46/70)","34%
(24/70)","43%
(35/81)","46%
(70/151)","54%
(81/151)","64%
(7/11)","82%
(9/11)","18%
(2/11)","36%
(4/11)","41%
(9/22)","59%
(13/22)",mukund-sasi-kumar,bemelmans-ruben,11.07.2021 15:10,newport-2021,0-2,2,3,0-2 | 5-7 | 4-6,5-7,,4-6,,,,,,,
