Aces_left,Aces_right,Double Faults_left,Double Faults_right,1st serve percentage_left,1st serve percentage_right,1st serve points won_left,1st serve points won_right,2nd serve points won_left,2nd serve points won_right,Break Points Saved_left,Break Points Saved_right,1st return points won_left,1st return points won_right,2nd return points won_left,2nd return points won_right,Break Points Converted_left,Break Points Converted_right,Winners_left,Winners_right,Unforced errors_left,Unforced errors_right,Net points won_left,Net points won_right,Service Points Won_left,Service Points Won_right,Return Points Won_left,Return Points Won_right,Total Points Won_left,Total Points Won_right,Service games won_left,Service games won_right,Return games won_left,Return games won_right,Total games won_left,Total games won_right,player_left,player_right,date,match_info,match_result_sets,sets_played,best_of_estimate,score_full,set_1_score,set_1_tiebreak,set_2_score,set_2_tiebreak,set_3_score,set_3_tiebreak,set_4_score,set_4_tiebreak,set_5_score,set_5_tiebreak
3,6,2,4,67%,64%,"73%
(38/52)","69%
(34/49)","58%
(15/26)","32%
(9/28)",2/4,4/11,"31%
(15/49)","27%
(14/52)","54%
(15/28)","35%
(9/26)",7/11,2/4,20,24,17,30,"89%
(16/18)","62%
(8/13)","68%
(53/78)","56%
(43/77)","44%
(34/77)","32%
(25/78)","56%
(87/155)","44%
(68/155)","86%
(12/14)","50%
(7/14)","50%
(7/14)","14%
(2/14)","68%
(19/28)","32%
(9/28)",djokovic-novak,medvedev-daniil,21.02.2021 08:45,australian-open-2021,3-0,3,5,3-0 | 7-5 | 6-2 | 6-2,7-5,,6-2,,6-2,,,,,
17,3,2,3,68%,69%,"88%
(49/56)","61%
(43/70)","46%
(12/26)","42%
(13/31)",2/3,4/9,"39%
(27/70)","13%
(7/56)","48%
(15/31)","46%
(12/26)",5/9,1/3,46,19,21,30,"54%
(7/13)","77%
(24/31)","76%
(61/80)","57%
(56/98)","43%
(42/98)","24%
(19/80)","60%
(106/178)","43%
(77/178)","93%
(14/15)","67%
(10/15)","33%
(5/15)","7%
(1/15)","63%
(19/30)","37%
(11/30)",medvedev-daniil,tsitsipas-stefanos,19.02.2021 08:45,australian-open-2021,3-0,3,5,3-0 | 6-4 | 6-2 | 7-5,6-4,,6-2,,7-5,,,,,
17,6,2,2,68%,52%,"71%
(39/55)","65%
(22/34)","62%
(16/26)","34%
(11/32)",3/5,1/7,"35%
(12/34)","29%
(16/55)","59%
(19/32)","31%
(8/26)",6/7,2/5,30,24,14,30,"64%
(7/11)","70%
(14/20)","68%
(55/81)","50%
(33/66)","50%
(33/66)","32%
(26/81)","60%
(88/147)","40%
(59/147)","86%
(12/14)","54%
(7/13)","46%
(6/13)","14%
(2/14)","67%
(18/27)","33%
(9/27)",djokovic-novak,karatsev-aslan,18.02.2021 08:45,australian-open-2021,3-0,3,5,3-0 | 6-3 | 6-4 | 6-2,6-3,,6-4,,6-2,,,,,
17,15,0,2,62%,68%,"79%
(66/84)","78%
(80/103)","69%
(36/52)","58%
(28/48)",1/4,3/5,"22%
(23/103)","21%
(18/84)","38%
(18/48)","31%
(16/52)",2/5,3/4,49,58,38,42,"74%
(23/31)","84%
(21/25)","75%
(102/136)","72%
(108/151)","28%
(43/151)","25%
(34/136)","51%
(145/287)","49%
(142/287)","88%
(22/25)","92%
(24/26)","8%
(2/26)","12%
(3/25)","47%
(24/51)","53%
(27/51)",tsitsipas-stefanos,nadal-rafael,17.02.2021 08:45,australian-open-2021,3-2,5,5,3-2 | 3-6 | 2-6 | 7-6(7-4) | 6-4 | 7-5,3-6,,2-6,,7-6,7-4,6-4,,7-5,
8,14,3,4,47%,60%,"63%
(25/40)","80%
(43/54)","56%
(25/45)","53%
(19/36)",6/11,4/5,"20%
(11/54)","38%
(15/40)","36%
(13/36)","38%
(17/45)",1/5,5/11,20,30,39,33,"82%
(9/11)","67%
(6/9)","59%
(50/85)","69%
(62/90)","31%
(28/90)","41%
(35/85)","45%
(78/175)","55%
(97/175)","64%
(9/14)","93%
(14/15)","7%
(1/15)","36%
(5/14)","34%
(10/29)","66%
(19/29)",rublev-andrey,medvedev-daniil,17.02.2021 04:30,australian-open-2021,0-3,3,5,0-3 | 5-7 | 3-6 | 2-6,5-7,,3-6,,2-6,,,,,
23,21,5,5,73%,64%,"72%
(86/119)","74%
(60/81)","44%
(19/43)","49%
(22/45)",9/12,3/9,"26%
(21/81)","28%
(33/119)","40%
(18/45)","44%
(19/43)",6/9,3/12,48,45,56,38,"74%
(20/27)","55%
(16/29)","65%
(105/162)","65%
(82/126)","35%
(44/126)","35%
(57/162)","52%
(149/288)","48%
(139/288)","86%
(18/21)","71%
(15/21)","29%
(6/21)","14%
(3/21)","57%
(24/42)","43%
(18/42)",djokovic-novak,zverev-alexander,16.02.2021 10:05,australian-open-2021,3-1,4,5,3-1 | 6-7(6-8) | 6-2 | 6-4 | 7-6(8-6),6-7,6-8,6-2,,6-4,,7-6,8-6,,
9,9,7,6,64%,55%,"60%
(38/63)","67%
(39/58)","43%
(15/35)","55%
(26/47)",3/11,10/14,"33%
(19/58)","40%
(25/63)","32%
(15/47)","37%
(13/35)",4/14,8/11,21,34,34,44,"63%
(5/8)","63%
(10/16)","54%
(53/98)","62%
(65/105)","38%
(40/105)","46%
(45/98)","46%
(93/203)","54%
(110/203)","53%
(9/17)","75%
(12/16)","25%
(4/16)","47%
(8/17)","39%
(13/33)","61%
(20/33)",dimitrov-grigor,karatsev-aslan,16.02.2021 04:15,australian-open-2021,1-3,4,5,1-3 | 6-2 | 4-6 | 1-6 | 2-6,6-2,,4-6,,1-6,,2-6,,,
7,6,3,3,56%,60%,"64%
(36/56)","77%
(33/43)","41%
(18/44)","69%
(20/29)",13/19,4/6,"23%
(10/43)","36%
(20/56)","21%
(6/29)","52%
(23/44)",2/6,6/19,32,24,35,20,"50%
(5/10)","80%
(12/15)","54%
(54/100)","74%
(53/72)","26%
(19/72)","46%
(46/100)","42%
(73/172)","58%
(99/172)","54%
(7/13)","86%
(12/14)","14%
(2/14)","46%
(6/13)","33%
(9/27)","67%
(18/27)",fognini-fabio,nadal-rafael,15.02.2021 04:25,australian-open-2021,0-3,3,5,0-3 | 3-6 | 4-6 | 2-6,3-6,,4-6,,2-6,,,,,
4,5,0,2,60%,69%,"77%
(27/35)","61%
(25/41)","57%
(13/23)","44%
(8/18)",1/3,6/10,"39%
(16/41)","23%
(8/35)","44%
(8/18)","43%
(10/23)",4/10,2/3,22,20,17,21,"90%
(9/10)","56%
(5/9)","69%
(40/58)","59%
(35/59)","41%
(24/59)","31%
(18/58)","56%
(66/117)","44%
(51/117)","80%
(8/10)","60%
(6/10)","40%
(4/10)","20%
(2/10)","60%
(12/20)","40%
(8/20)",rublev-andrey,ruud-casper,15.02.2021 03:55,australian-open-2021,2-0,2,3,2-0 | 6-2 | 7-6(7-3),6-2,,7-6,7-3,,,,,,
1,7,2,2,60%,65%,"67%
(28/42)","78%
(36/46)","43%
(12/28)","60%
(15/25)",1/7,0/1,"22%
(10/46)","33%
(14/42)","32%
(8/25)","50%
(14/28)",1/1,6/7,21,29,23,15,"64%
(16/25)","54%
(7/13)","60%
(42/70)","75%
(53/71)","25%
(18/71)","40%
(28/70)","43%
(60/141)","57%
(81/141)","57%
(8/14)","92%
(12/13)","8%
(1/13)","43%
(6/14)","33%
(9/27)","67%
(18/27)",mcdonald-mackenzie,medvedev-daniil,15.02.2021 02:05,australian-open-2021,0-3,3,5,0-3 | 4-6 | 2-6 | 3-6,4-6,,2-6,,3-6,,,,,
