Aces_left,Aces_right,Double Faults_left,Double Faults_right,1st serve percentage_left,1st serve percentage_right,1st serve points won_left,1st serve points won_right,2nd serve points won_left,2nd serve points won_right,Break Points Saved_left,Break Points Saved_right,1st return points won_left,1st return points won_right,2nd return points won_left,2nd return points won_right,Break Points Converted_left,Break Points Converted_right,Service Points Won_left,Service Points Won_right,Return Points Won_left,Return Points Won_right,Total Points Won_left,Total Points Won_right,Service games won_left,Service games won_right,Return games won_left,Return games won_right,Total games won_left,Total games won_right,player_left,player_right,date,match_info,match_result_sets,sets_played,best_of_estimate,score_full,set_1_score,set_1_tiebreak,set_2_score,set_2_tiebreak,set_3_score,set_3_tiebreak,set_4_score,set_4_tiebreak,set_5_score,set_5_tiebreak
0,4,2,2,70%,59%,"56%
(22/39)","81%
(22/27)","35%
(6/17)","68%
(13/19)",4/8,1/1,"19%
(5/27)","44%
(17/39)","21%
(4/19)","53%
(9/17)",0/1,4/8,"50%
(28/56)","76%
(35/46)","24%
(11/46)","50%
(28/56)","38%
(39/102)","62%
(63/102)","50%
(4/8)","100%
(8/8)","0%
(0/8)","50%
(4/8)","25%
(4/16)","75%
(12/16)",shapovalov-denis,medvedev-daniil,25.09.2021 23:15,laver-cup-2021,0-2,2,3,0-2 | 4-6 | 0-6,4-6,,0-6,,,,,,,
22,13,1,0,77%,71%,"82%
(55/67)","79%
(48/61)","55%
(11/20)","80%
(20/25)",3/3,3/3,"21%
(13/61)","18%
(12/67)","20%
(5/25)","40%
(8/20)",0/3,0/3,"76%
(66/87)","79%
(68/86)","21%
(18/86)","24%
(21/87)","49%
(84/173)","51%
(89/173)","100%
(12/12)","100%
(12/12)","0%
(0/12)","0%
(0/12)","50%
(12/24)","50%
(12/24)",isner-john,zverev-alexander,25.09.2021 19:10,laver-cup-2021,1-2,3,3,1-2 | 6-7(5-7) | 7-6(8-6) | 5-10,6-7,5-7,7-6,8-6,5-10,,,,,
8,3,2,2,68%,63%,"70%
(28/40)","82%
(32/39)","47%
(9/19)","61%
(14/23)",4/6,6/6,"18%
(7/39)","30%
(12/40)","30%
(7/23)","42%
(8/19)",0/6,2/6,"63%
(37/59)","74%
(46/62)","26%
(16/62)","37%
(22/59)","44%
(53/121)","56%
(68/121)","78%
(7/9)","100%
(10/10)","0%
(0/10)","22%
(2/9)","37%
(7/19)","63%
(12/19)",kyrgios-nick,tsitsipas-stefanos,25.09.2021 17:15,laver-cup-2021,0-2,2,3,0-2 | 3-6 | 4-6,3-6,,4-6,,,,,,,
2,5,4,4,63%,55%,"63%
(27/43)","69%
(27/39)","32%
(8/25)","34%
(11/32)",2/6,4/8,"31%
(12/39)","37%
(16/43)","53%
(17/32)","52%
(13/25)",4/8,4/6,"51%
(35/68)","54%
(38/71)","46%
(33/71)","49%
(33/68)","49%
(68/139)","51%
(71/139)","56%
(5/9)","60%
(6/10)","40%
(4/10)","44%
(4/9)","47%
(9/19)","53%
(10/19)",schwartzman-diego,rublev-andrey,25.09.2021 00:05,laver-cup-2021,1-2,3,3,1-2 | 6-4 | 3-6 | 9-11,6-4,,3-6,,9-11,,,,,
9,7,6,2,63%,68%,"66%
(39/59)","70%
(53/76)","51%
(18/35)","51%
(18/35)",4/6,12/13,"30%
(23/76)","34%
(20/59)","43%
(15/35)","31%
(11/35)",1/13,2/6,"63%
(59/94)","64%
(71/111)","36%
(40/111)","37%
(35/94)","48%
(99/205)","52%
(106/205)","83%
(10/12)","92%
(11/12)","8%
(1/12)","17%
(2/12)","46%
(11/24)","54%
(13/24)",auger-aliassime-felix,berrettini-matteo,24.09.2021 19:30,laver-cup-2021,1-2,3,3,1-2 | 7-6(7-3) | 5-7 | 8-10,7-6,7-3,5-7,,8-10,,,,,
9,4,1,0,66%,52%,"73%
(37/51)","84%
(27/32)","50%
(13/26)","70%
(21/30)",3/5,3/3,"16%
(5/32)","27%
(14/51)","30%
(9/30)","46%
(12/26)",0/3,2/5,"65%
(50/77)","77%
(48/62)","23%
(14/62)","35%
(27/77)","46%
(64/139)","54%
(75/139)","82%
(9/11)","100%
(10/10)","0%
(0/10)","18%
(2/11)","43%
(9/21)","57%
(12/21)",opelka-reilly,ruud-casper,24.09.2021 17:20,laver-cup-2021,0-2,2,3,0-2 | 3-6 | 6-7(4-7),3-6,,6-7,4-7,,,,,,
