Aces_left,Aces_right,Double Faults_left,Double Faults_right,1st serve percentage_left,1st serve percentage_right,1st serve points won_left,1st serve points won_right,2nd serve points won_left,2nd serve points won_right,Break Points Saved_left,Break Points Saved_right,1st return points won_left,1st return points won_right,2nd return points won_left,2nd return points won_right,Break Points Converted_left,Break Points Converted_right,Winners_left,Winners_right,Unforced errors_left,Unforced errors_right,Net points won_left,Net points won_right,Service Points Won_left,Service Points Won_right,Return Points Won_left,Return Points Won_right,Total Points Won_left,Total Points Won_right,Service games won_left,Service games won_right,Return games won_left,Return games won_right,Total games won_left,Total games won_right,player_left,player_right,date,match_info,match_result_sets,sets_played,best_of_estimate,score_full,set_1_score,set_1_tiebreak,set_2_score,set_2_tiebreak,set_3_score,set_3_tiebreak,set_4_score,set_4_tiebreak,set_5_score,set_5_tiebreak
1,4,4,1,67%,65%,"50%
(33/66)","67%
(37/55)","48%
(16/33)","66%
(19/29)",11/18,4/5,"33%
(18/55)","50%
(33/66)","31%
(9/29)","39%
(13/33)",1/5,7/18,38,31,52,14,"67%
(18/27)","53%
(9/17)","49%
(49/99)","67%
(56/84)","33%
(28/84)","51%
(50/99)","42%
(77/183)","58%
(106/183)","46%
(6/13)","92%
(12/13)","8%
(1/13)","54%
(7/13)","27%
(7/26)","73%
(19/26)",djokovic-novak,nadal-rafael,11.10.2020 13:10,french-open-2020,0-3,3,5,0-3 | 0-6 | 2-6 | 5-7,0-6,,2-6,,5-7,,,,,
5,7,6,5,67%,67%,"73%
(74/102)","59%
(67/113)","47%
(24/51)","49%
(27/55)",11/15,14/22,"41%
(46/113)","27%
(28/102)","42%
(23/55)","41%
(21/51)",8/22,4/15,56,52,50,56,"75%
(30/40)","59%
(24/41)","64%
(98/153)","56%
(94/168)","44%
(74/168)","36%
(55/153)","54%
(172/321)","46%
(149/321)","83%
(19/23)","65%
(15/23)","35%
(8/23)","17%
(4/23)","59%
(27/46)","41%
(19/46)",djokovic-novak,tsitsipas-stefanos,09.10.2020 16:40,french-open-2020,3-2,5,5,3-2 | 6-3 | 6-2 | 5-7 | 4-6 | 6-1,6-3,,6-2,,5-7,,4-6,,6-1,
2,3,3,0,60%,69%,"62%
(31/50)","68%
(55/81)","38%
(13/34)","53%
(19/36)",3/9,9/12,"32%
(26/81)","38%
(19/50)","47%
(17/36)","53%
(18/34)",3/12,6/9,24,38,48,34,"65%
(15/23)","71%
(17/24)","52%
(44/84)","63%
(74/117)","37%
(43/117)","48%
(40/84)","43%
(87/201)","57%
(114/201)","60%
(9/15)","80%
(12/15)","20%
(3/15)","40%
(6/15)","40%
(12/30)","60%
(18/30)",schwartzman-diego,nadal-rafael,09.10.2020 13:05,french-open-2020,0-3,3,5,0-3 | 3-6 | 3-6 | 6-7(0-7),3-6,,3-6,,6-7,0-7,,,,
2,3,5,3,56%,70%,"72%
(53/74)","64%
(50/78)","53%
(30/57)","44%
(15/34)",10/13,7/13,"36%
(28/78)","28%
(21/74)","47%
(16/34)","39%
(22/57)",6/13,3/13,53,42,41,29,"72%
(26/36)","63%
(19/30)","63%
(83/131)","58%
(65/112)","42%
(47/112)","37%
(48/131)","53%
(130/243)","47%
(113/243)","84%
(16/19)","67%
(12/18)","33%
(6/18)","16%
(3/19)","59%
(22/37)","41%
(15/37)",djokovic-novak,carreno-busta-pablo,07.10.2020 16:40,french-open-2020,3-1,4,5,3-1 | 4-6 | 6-2 | 6-3 | 6-4,4-6,,6-2,,6-3,,6-4,,,
7,7,0,2,64%,64%,"66%
(38/58)","80%
(43/54)","38%
(12/32)","61%
(19/31)",3/8,2/3,"20%
(11/54)","34%
(20/58)","32%
(10/31)","63%
(20/32)",1/3,5/8,25,35,23,17,"35%
(6/17)","94%
(16/17)","56%
(50/90)","73%
(62/85)","27%
(23/85)","44%
(40/90)","42%
(73/175)","58%
(102/175)","64%
(9/14)","93%
(14/15)","7%
(1/15)","36%
(5/14)","34%
(10/29)","66%
(19/29)",rublev-andrey,tsitsipas-stefanos,07.10.2020 14:20,french-open-2020,0-3,3,5,0-3 | 5-7 | 2-6 | 3-6,5-7,,2-6,,3-6,,,,,
2,0,3,1,68%,65%,"57%
(36/63)","67%
(42/63)","43%
(13/30)","59%
(20/34)",2/8,5/7,"33%
(21/63)","44%
(28/63)","38%
(13/34)","47%
(14/30)",2/7,6/8,31,37,44,33,"54%
(15/28)","68%
(19/28)","53%
(49/93)","64%
(62/97)","36%
(35/97)","47%
(44/93)","44%
(84/190)","56%
(106/190)","60%
(9/15)","86%
(12/14)","14%
(2/14)","40%
(6/15)","38%
(11/29)","62%
(18/29)",sinner-jannik,nadal-rafael,06.10.2020 20:35,french-open-2020,0-3,3,5,0-3 | 6-7(4-7) | 4-6 | 1-6,6-7,4-7,4-6,,1-6,,,,,
1,7,5,3,66%,59%,"62%
(77/124)","62%
(69/111)","52%
(34/65)","42%
(32/76)",13/22,6/16,"38%
(42/111)","38%
(47/124)","54%
(41/76)","40%
(26/65)",10/16,9/22,47,65,62,81,"62%
(44/71)","66%
(35/53)","59%
(111/189)","54%
(101/187)","46%
(86/187)","41%
(78/189)","52%
(197/376)","48%
(179/376)","68%
(19/28)","64%
(18/28)","36%
(10/28)","32%
(9/28)","52%
(29/56)","48%
(27/56)",schwartzman-diego,thiem-dominic,06.10.2020 13:30,french-open-2020,3-2,5,5,3-2 | 7-6(7-1) | 5-7 | 6-7(6-8) | 7-6(7-5) | 6-2,7-6,7-1,5-7,,6-7,6-8,7-6,7-5,6-2,
4,5,0,4,85%,65%,"66%
(56/85)","56%
(38/68)","47%
(7/15)","51%
(19/37)",3/4,12/18,"44%
(30/68)","34%
(29/85)","38%
(14/37)","53%
(8/15)",6/18,1/4,44,37,27,31,"68%
(26/38)","71%
(24/34)","63%
(63/100)","54%
(57/105)","46%
(48/105)","37%
(37/100)","54%
(111/205)","46%
(94/205)","93%
(13/14)","57%
(8/14)","43%
(6/14)","7%
(1/14)","68%
(19/28)","32%
(9/28)",carreno-busta-pablo,altmaier-daniel,05.10.2020 18:45,french-open-2020,3-0,3,5,3-0 | 6-2 | 7-5 | 6-2,6-2,,7-5,,6-2,,,,,
2,5,1,4,64%,69%,"70%
(40/57)","55%
(42/77)","59%
(19/32)","47%
(16/34)",7/9,9/15,"45%
(35/77)","30%
(17/57)","41%
(14/34)","38%
(12/32)",6/15,2/9,44,31,28,31,"66%
(23/35)","56%
(15/27)","66%
(59/89)","52%
(58/111)","48%
(53/111)","34%
(30/89)","56%
(112/200)","44%
(88/200)","86%
(12/14)","57%
(8/14)","43%
(6/14)","14%
(2/14)","64%
(18/28)","36%
(10/28)",djokovic-novak,khachanov-karen,05.10.2020 13:50,french-open-2020,3-0,3,5,3-0 | 6-4 | 6-3 | 6-3,6-4,,6-3,,6-3,,,,,
1,3,4,0,70%,62%,"62%
(46/74)","71%
(44/62)","48%
(15/31)","71%
(27/38)",9/12,3/3,"29%
(18/62)","38%
(28/74)","29%
(11/38)","39%
(12/31)",0/3,3/12,22,24,53,30,"52%
(12/23)","63%
(12/19)","58%
(61/105)","71%
(71/100)","29%
(29/100)","42%
(44/105)","44%
(90/205)","56%
(115/205)","79%
(11/14)","100%
(15/15)","0%
(0/15)","21%
(3/14)","38%
(11/29)","62%
(18/29)",dimitrov-grigor,tsitsipas-stefanos,05.10.2020 10:55,french-open-2020,0-3,3,5,0-3 | 3-6 | 6-7(9-11) | 2-6,3-6,,6-7,9-11,2-6,,,,,
