Aces_left,Aces_right,Double Faults_left,Double Faults_right,1st serve percentage_left,1st serve percentage_right,1st serve points won_left,1st serve points won_right,2nd serve points won_left,2nd serve points won_right,Break Points Saved_left,Break Points Saved_right,1st return points won_left,1st return points won_right,2nd return points won_left,2nd return points won_right,Break Points Converted_left,Break Points Converted_right,Winners_left,Winners_right,Unforced errors_left,Unforced errors_right,Service Points Won_left,Service Points Won_right,Return Points Won_left,Return Points Won_right,Total Points Won_left,Total Points Won_right,Service games won_left,Service games won_right,Return games won_left,Return games won_right,Total games won_left,Total games won_right,player_left,player_right,date,match_info,match_result_sets,sets_played,best_of_estimate,score_full,set_1_score,set_1_tiebreak,set_2_score,set_2_tiebreak,set_3_score,set_3_tiebreak,set_4_score,set_4_tiebreak,set_5_score,set_5_tiebreak,Net points won_left,Net points won_right
2,5,2,1,75%,71%,"67%
(34/51)","61%
(39/64)","53%
(9/17)","35%
(9/26)",4/6,8/13,"39%
(25/64)","33%
(17/51)","62%
(16/26)","35%
(6/17)",5/13,2/6,23,23,20,36,"63%
(43/68)","53%
(48/90)","47%
(42/90)","37%
(25/68)","54%
(85/158)","46%
(73/158)","82%
(9/11)","55%
(6/11)","45%
(5/11)","18%
(2/11)","64%
(14/22)","36%
(8/22)",norrie-cameron,lehecka-jiri,28.11.2021 11:10,davis-cup-world-group-2021,2-1,3,3,2-1 | 6-1 | 2-6 | 6-1,6-1,,2-6,,6-1,,,,,,,
11,12,3,2,55%,63%,"72%
(39/54)","72%
(53/74)","47%
(21/45)","43%
(19/44)",6/11,5/9,"28%
(21/74)","28%
(15/54)","52%
(23/44)","47%
(21/45)",4/9,5/11,24,20,34,23,"61%
(60/99)","61%
(72/118)","39%
(46/118)","39%
(39/99)","49%
(106/217)","51%
(111/217)","69%
(11/16)","75%
(12/16)","25%
(4/16)","31%
(5/16)","47%
(15/32)","53%
(17/32)",cilic-marin,piros-zsombor,28.11.2021 10:45,davis-cup-world-group-2021,1-2,3,3,1-2 | 6-4 | 5-7 | 4-6,6-4,,5-7,,4-6,,,,,,,
3,8,2,1,54%,59%,"58%
(22/38)","80%
(24/30)","44%
(14/32)","57%
(12/21)",6/11,3/5,"20%
(6/30)","42%
(16/38)","38%
(8/21)","50%
(16/32)",2/5,5/11,19,21,16,11,"51%
(36/70)","71%
(36/51)","29%
(15/51)","49%
(34/70)","42%
(51/121)","58%
(70/121)","50%
(5/10)","80%
(8/10)","20%
(2/10)","50%
(5/10)","35%
(7/20)","65%
(13/20)",evans-daniel,machac-tomas,28.11.2021 09:10,davis-cup-world-group-2021,0-2,2,3,0-2 | 2-6 | 5-7,2-6,,5-7,,,,,,,,,
7,1,5,0,73%,69%,"63%
(52/83)","74%
(58/78)","57%
(17/30)","49%
(17/35)",5/9,4/6,"26%
(20/78)","37%
(31/83)","51%
(18/35)","27%
(8/30)",2/6,4/9,29,29,40,18,"61%
(69/113)","66%
(75/113)","34%
(38/113)","39%
(44/113)","47%
(107/226)","53%
(119/226)","75%
(12/16)","88%
(15/17)","12%
(2/17)","25%
(4/16)","42%
(14/33)","58%
(19/33)",schnur-brayden,kukushkin-mikhail,28.11.2021 09:10,davis-cup-world-group-2021,1-2,3,3,1-2 | 3-6 | 7-6(7-5) | 5-7,3-6,,7-6,7-5,5-7,,,,,,,
7,6,3,3,69%,57%,"95%
(36/38)","81%
(25/31)","41%
(7/17)","52%
(12/23)",0/0,1/3,"19%
(6/31)","5%
(2/38)","35%
(8/23)","41%
(7/17)",2/3,0/0,8,9,11,15,"78%
(43/55)","69%
(37/54)","31%
(17/54)","22%
(12/55)","55%
(60/109)","45%
(49/109)","100%
(10/10)","80%
(8/10)","20%
(2/10)","0%
(0/10)","60%
(12/20)","40%
(8/20)",serdarusic-nino,marozsan-fabian,28.11.2021 09:10,davis-cup-world-group-2021,2-0,2,3,2-0 | 6-4 | 6-4,6-4,,6-4,,,,,,,,,
1,1,0,3,49%,60%,"72%
(18/25)","35%
(11/31)","58%
(15/26)","57%
(12/21)",0/2,1/7,"65%
(20/31)","28%
(7/25)","29%
(6/21)","42%
(11/26)",6/7,2/2,18,8,16,12,"65%
(33/51)","44%
(23/52)","56%
(29/52)","35%
(18/51)","60%
(62/103)","40%
(41/103)","78%
(7/9)","33%
(3/9)","67%
(6/9)","22%
(2/9)","72%
(13/18)","28%
(5/18)",sinner-jannik,galan-daniel-elahi,27.11.2021 21:15,davis-cup-world-group-2021,2-0,2,3,2-0 | 7-5 | 6-0,7-5,,6-0,,,,,,,,,
9,2,0,1,65%,66%,"79%
(27/34)","61%
(23/38)","61%
(11/18)","45%
(9/20)",0/0,3/6,"39%
(15/38)","21%
(7/34)","50%
(10/20)","39%
(7/18)",3/6,0/0,15,7,8,10,"73%
(38/52)","55%
(32/58)","45%
(26/58)","27%
(14/52)","58%
(64/110)","42%
(46/110)","100%
(9/9)","67%
(6/9)","33%
(3/9)","0%
(0/9)","67%
(12/18)","33%
(6/18)",djokovic-novak,struff-jan-lennard,27.11.2021 18:20,davis-cup-world-group-2021,2-0,2,3,2-0 | 6-2 | 6-4,6-2,,6-4,,,,,,,,,
7,2,0,0,73%,75%,"77%
(48/62)","56%
(39/70)","65%
(15/23)","78%
(18/23)",4/5,1/5,"44%
(31/70)","23%
(14/62)","22%
(5/23)","35%
(8/23)",4/5,1/5,18,20,22,28,"74%
(63/85)","61%
(57/93)","39%
(36/93)","26%
(22/85)","56%
(99/178)","44%
(79/178)","93%
(14/15)","73%
(11/15)","27%
(4/15)","7%
(1/15)","60%
(18/30)","40%
(12/30)",sonego-lorenzo,mejia-nicolas,27.11.2021 18:15,davis-cup-world-group-2021,2-1,3,3,2-1 | 6-7(5-7) | 6-4 | 6-2,6-7,5-7,6-4,,6-2,,,,,,,
4,0,3,0,66%,53%,"86%
(25/29)","39%
(9/23)","40%
(6/15)","45%
(9/20)",4/4,1/6,"61%
(14/23)","14%
(4/29)","55%
(11/20)","40%
(6/15)",5/6,0/4,12,6,6,7,"70%
(31/44)","42%
(18/43)","58%
(25/43)","30%
(13/44)","64%
(56/87)","36%
(31/87)","100%
(7/7)","29%
(2/7)","71%
(5/7)","0%
(0/7)","86%
(12/14)","14%
(2/14)",medvedev-daniil,gomez-emilio,27.11.2021 17:45,davis-cup-world-group-2021,2-0,2,3,2-0 | 6-0 | 6-2,6-0,,6-2,,,,,,,,,
13,6,1,1,71%,60%,"83%
(40/48)","57%
(26/46)","60%
(12/20)","58%
(18/31)",0/1,6/10,"43%
(20/46)","17%
(8/48)","39%
(12/31)","35%
(7/20)",4/10,1/1,21,15,16,16,"76%
(52/68)","57%
(44/77)","43%
(33/77)","24%
(16/68)","59%
(85/145)","41%
(60/145)","92%
(12/13)","69%
(9/13)","31%
(4/13)","8%
(1/13)","62%
(16/26)","38%
(10/26)",rublev-andrey,quiroz-roberto,27.11.2021 15:55,davis-cup-world-group-2021,2-1,3,3,2-1 | 6-3 | 4-6 | 6-1,6-3,,4-6,,6-1,,,,,,,
5,2,3,4,64%,55%,"63%
(34/54)","63%
(26/41)","47%
(14/30)","58%
(19/33)",7/11,5/8,"37%
(15/41)","37%
(20/54)","30%
(10/33)","43%
(13/30)",3/8,4/11,16,34,11,13,"57%
(48/84)","60%
(45/75)","40%
(30/75)","43%
(36/84)","49%
(78/159)","51%
(81/159)","64%
(7/11)","73%
(8/11)","27%
(3/11)","36%
(4/11)","45%
(10/22)","55%
(12/22)",krajinovic-filip,koepfer-dominik,27.11.2021 15:50,davis-cup-world-group-2021,0-2,2,3,0-2 | 6-7(4-7) | 4-6,6-7,4-7,4-6,,,,,,,,,
